"item1","item2","correlation","topic","k"
"network","peopl",-0.0608771289363536,1,10
"peopl","network",-0.0608771289363536,1,10
"music","servic",-0.119863522467865,1,10
"servic","music",-0.119863522467865,1,10
"servic","peopl",-0.153488038234168,1,10
"peopl","servic",-0.153488038234168,1,10
"music","peopl",-0.178332396871818,1,10
"peopl","music",-0.178332396871818,1,10
"economi","econom",0.52430867927008,2,10
"econom","economi",0.52430867927008,2,10
"growth","economi",0.435420585329569,2,10
"economi","growth",0.435420585329569,2,10
"growth","econom",0.390030973942113,2,10
"econom","growth",0.390030973942113,2,10
"rate","growth",0.329857641760297,2,10
"growth","rate",0.329857641760297,2,10
"rate","economi",0.31214525810437,2,10
"economi","rate",0.31214525810437,2,10
"rate","econom",0.307119542608286,2,10
"econom","rate",0.307119542608286,2,10
"bank","growth",0.241258112847712,2,10
"growth","bank",0.241258112847712,2,10
"rise","growth",0.239193102342116,2,10
"growth","rise",0.239193102342116,2,10
"rise","rate",0.2354710384778,2,10
"rate","rise",0.2354710384778,2,10
"bank","econom",0.233621061295476,2,10
"econom","bank",0.233621061295476,2,10
"bank","economi",0.230694811329571,2,10
"economi","bank",0.230694811329571,2,10
"rise","economi",0.214748850526796,2,10
"economi","rise",0.214748850526796,2,10
"rise","econom",0.204583677405864,2,10
"econom","rise",0.204583677405864,2,10
"market","growth",0.199990249005639,2,10
"growth","market",0.199990249005639,2,10
"price","rise",0.19100584493181,2,10
"rise","price",0.19100584493181,2,10
"bank","rate",0.183658186302656,2,10
"rate","bank",0.183658186302656,2,10
"price","market",0.174128305324456,2,10
"market","price",0.174128305324456,2,10
"price","growth",0.170913917068612,2,10
"growth","price",0.170913917068612,2,10
"rise","bank",0.146075697511732,2,10
"bank","rise",0.146075697511732,2,10
"price","economi",0.144734555816595,2,10
"economi","price",0.144734555816595,2,10
"price","rate",0.137755709514497,2,10
"rate","price",0.137755709514497,2,10
"market","bank",0.128350748009066,2,10
"bank","market",0.128350748009066,2,10
"market","econom",0.108440239709742,2,10
"econom","market",0.108440239709742,2,10
"growth","expect",0.103115989684824,2,10
"expect","growth",0.103115989684824,2,10
"market","rate",0.0927385841436301,2,10
"rate","market",0.0927385841436301,2,10
"month","growth",0.0923034411931244,2,10
"growth","month",0.0923034411931244,2,10
"market","economi",0.0801894002198276,2,10
"economi","market",0.0801894002198276,2,10
"expect","economi",0.0776253487728994,2,10
"economi","expect",0.0776253487728994,2,10
"price","econom",0.077529395684727,2,10
"econom","price",0.077529395684727,2,10
"rise","market",0.0770130678429222,2,10
"market","rise",0.0770130678429222,2,10
"price","bank",0.0759797993030196,2,10
"bank","price",0.0759797993030196,2,10
"expect","econom",0.0605448022473357,2,10
"econom","expect",0.0605448022473357,2,10
"rise","month",0.0352727216940025,2,10
"month","rise",0.0352727216940025,2,10
"rise","expect",0.0255733625512924,2,10
"expect","rise",0.0255733625512924,2,10
"rate","expect",0.0232509545002127,2,10
"expect","rate",0.0232509545002127,2,10
"rate","month",0.0207787731513457,2,10
"month","rate",0.0207787731513457,2,10
"bank","month",0.0186202831529909,2,10
"month","bank",0.0186202831529909,2,10
"price","month",0.0079782356885995,2,10
"month","price",0.0079782356885995,2,10
"bank","expect",0.00557229287292,2,10
"expect","bank",0.00557229287292,2,10
"month","econom",0.00531118774280178,2,10
"econom","month",0.00531118774280178,2,10
"month","economi",0.00198246130917723,2,10
"economi","month",0.00198246130917723,2,10
"price","expect",0.00139728570370252,2,10
"expect","price",0.00139728570370252,2,10
"market","month",-0.0694081216525271,2,10
"month","market",-0.0694081216525271,2,10
"market","expect",-0.07494887553986,2,10
"expect","market",-0.07494887553986,2,10
"month","expect",-0.145953280010046,2,10
"expect","month",-0.145953280010046,2,10
"game","player",0.376770147230945,3,10
"player","game",0.376770147230945,3,10
"game","play",0.322673068890678,3,10
"play","game",0.322673068890678,3,10
"player","play",0.315851006486048,3,10
"play","player",0.315851006486048,3,10
"video","technolog",0.296158999783145,3,10
"technolog","video",0.296158999783145,3,10
"gadget","video",0.257338691177731,3,10
"video","gadget",0.257338691177731,3,10
"gadget","technolog",0.25420845373255,3,10
"technolog","gadget",0.25420845373255,3,10
"video","player",0.202952987379144,3,10
"player","video",0.202952987379144,3,10
"gadget","player",0.199187355789974,3,10
"player","gadget",0.199187355789974,3,10
"technolog","peopl",0.193382848409228,3,10
"peopl","technolog",0.193382848409228,3,10
"market","sale",0.190675483622437,3,10
"sale","market",0.190675483622437,3,10
"video","game",0.157883184079957,3,10
"game","video",0.157883184079957,3,10
"gadget","peopl",0.15317549570743,3,10
"peopl","gadget",0.15317549570743,3,10
"gadget","market",0.135923860811971,3,10
"market","gadget",0.135923860811971,3,10
"gadget","sale",0.123719301072403,3,10
"sale","gadget",0.123719301072403,3,10
"car","sale",0.110913572531118,3,10
"sale","car",0.110913572531118,3,10
"technolog","market",0.104010109778265,3,10
"market","technolog",0.104010109778265,3,10
"video","peopl",0.0927135284371396,3,10
"peopl","video",0.0927135284371396,3,10
"technolog","car",0.0924375860270902,3,10
"car","technolog",0.0924375860270902,3,10
"technolog","player",0.0900392774286242,3,10
"player","technolog",0.0900392774286242,3,10
"video","market",0.0837621873229539,3,10
"market","video",0.0837621873229539,3,10
"gadget","game",0.0788348046590944,3,10
"game","gadget",0.0788348046590944,3,10
"video","sale",0.0525747560748247,3,10
"sale","video",0.0525747560748247,3,10
"gadget","car",0.0480167876145568,3,10
"car","gadget",0.0480167876145568,3,10
"car","market",0.0456806558697957,3,10
"market","car",0.0456806558697957,3,10
"video","play",0.0370632580817246,3,10
"play","video",0.0370632580817246,3,10
"gadget","play",0.0330097719643789,3,10
"play","gadget",0.0330097719643789,3,10
"car","peopl",0.00117326405823792,3,10
"peopl","car",0.00117326405823792,3,10
"video","car",-0.00262345925495354,3,10
"car","video",-0.00262345925495354,3,10
"player","car",-0.0205486479392609,3,10
"car","player",-0.0205486479392609,3,10
"play","car",-0.02372654555784,3,10
"car","play",-0.02372654555784,3,10
"game","technolog",-0.0317494317955962,3,10
"technolog","game",-0.0317494317955962,3,10
"game","car",-0.0367150869741758,3,10
"car","game",-0.0367150869741758,3,10
"technolog","sale",-0.0412206614758209,3,10
"sale","technolog",-0.0412206614758209,3,10
"player","sale",-0.0430161417795905,3,10
"sale","player",-0.0430161417795905,3,10
"game","sale",-0.0654673598831004,3,10
"sale","game",-0.0654673598831004,3,10
"technolog","play",-0.0725727789731779,3,10
"play","technolog",-0.0725727789731779,3,10
"player","market",-0.0910185347411062,3,10
"market","player",-0.0910185347411062,3,10
"peopl","market",-0.099515943492409,3,10
"market","peopl",-0.099515943492409,3,10
"play","sale",-0.113158672062046,3,10
"sale","play",-0.113158672062046,3,10
"player","peopl",-0.11766646582569,3,10
"peopl","player",-0.11766646582569,3,10
"game","market",-0.150585802094818,3,10
"market","game",-0.150585802094818,3,10
"peopl","sale",-0.163264025289279,3,10
"sale","peopl",-0.163264025289279,3,10
"play","peopl",-0.189633499435658,3,10
"peopl","play",-0.189633499435658,3,10
"play","market",-0.204344684203462,3,10
"market","play",-0.204344684203462,3,10
"game","peopl",-0.204896236418012,3,10
"peopl","game",-0.204896236418012,3,10
"game","player",0.377558896789412,4,10
"player","game",0.377558896789412,4,10
"game","play",0.323814015202073,4,10
"play","game",0.323814015202073,4,10
"player","play",0.316858168952944,4,10
"play","player",0.316858168952944,4,10
"game","team",0.258904128339427,4,10
"team","game",0.258904128339427,4,10
"club","player",0.223690985055275,4,10
"player","club",0.223690985055275,4,10
"player","team",0.217748245440524,4,10
"team","player",0.217748245440524,4,10
"win","champion",0.202834887281039,4,10
"champion","win",0.202834887281039,4,10
"win","game",0.192073487456871,4,10
"game","win",0.192073487456871,4,10
"win","play",0.181152032263677,4,10
"play","win",0.181152032263677,4,10
"club","team",0.175196136231039,4,10
"team","club",0.175196136231039,4,10
"game","champion",0.168301748862625,4,10
"champion","game",0.168301748862625,4,10
"team","champion",0.161423104380529,4,10
"champion","team",0.161423104380529,4,10
"win","team",0.156046917286683,4,10
"team","win",0.156046917286683,4,10
"play","team",0.152012862346894,4,10
"team","play",0.152012862346894,4,10
"win","player",0.139482090663123,4,10
"player","win",0.139482090663123,4,10
"champion","world",0.135909777686593,4,10
"world","champion",0.135909777686593,4,10
"club","play",0.127952248464777,4,10
"play","club",0.127952248464777,4,10
"play","champion",0.121632633291509,4,10
"champion","play",0.121632633291509,4,10
"club","champion",0.117884864737194,4,10
"champion","club",0.117884864737194,4,10
"club","game",0.115226424868681,4,10
"game","club",0.115226424868681,4,10
"player","champion",0.105927556008169,4,10
"champion","player",0.105927556008169,4,10
"club","manag",0.0964855311745289,4,10
"manag","club",0.0964855311745289,4,10
"team","manag",0.0958439129594578,4,10
"manag","team",0.0958439129594578,4,10
"player","manag",0.0811127622622029,4,10
"manag","player",0.0811127622622029,4,10
"player","world",0.0613728506545684,4,10
"world","player",0.0613728506545684,4,10
"game","manag",0.0485541268170026,4,10
"manag","game",0.0485541268170026,4,10
"win","world",0.0277016040185615,4,10
"world","win",0.0277016040185615,4,10
"game","world",0.0268666800960987,4,10
"world","game",0.0268666800960987,4,10
"team","world",0.0228066673238937,4,10
"world","team",0.0228066673238937,4,10
"game","time",0.0101958911147214,4,10
"time","game",0.0101958911147214,4,10
"champion","time",0.00312474311658031,4,10
"time","champion",0.00312474311658031,4,10
"play","world",0.00264375891990644,4,10
"world","play",0.00264375891990644,4,10
"champion","manag",-0.0129346004248596,4,10
"manag","champion",-0.0129346004248596,4,10
"win","club",-0.0180360253184569,4,10
"club","win",-0.0180360253184569,4,10
"win","time",-0.0180570937752225,4,10
"time","win",-0.0180570937752225,4,10
"team","time",-0.0187197423713866,4,10
"time","team",-0.0187197423713866,4,10
"play","manag",-0.0250589434015728,4,10
"manag","play",-0.0250589434015728,4,10
"player","time",-0.0251848939828366,4,10
"time","player",-0.0251848939828366,4,10
"club","time",-0.0253776684721524,4,10
"time","club",-0.0253776684721524,4,10
"club","world",-0.0364622074121304,4,10
"world","club",-0.0364622074121304,4,10
"manag","time",-0.0699504606806159,4,10
"time","manag",-0.0699504606806159,4,10
"win","manag",-0.0775322495833946,4,10
"manag","win",-0.0775322495833946,4,10
"play","time",-0.082390256863146,4,10
"time","play",-0.082390256863146,4,10
"world","time",-0.083983645894402,4,10
"time","world",-0.083983645894402,4,10
"manag","world",-0.0941977578037771,4,10
"world","manag",-0.0941977578037771,4,10
"minist","govern",0.430888160103123,5,10
"govern","minist",0.430888160103123,5,10
"lord","law",0.210367797725889,5,10
"law","lord",0.210367797725889,5,10
"minist","plan",0.209225344539848,5,10
"plan","minist",0.209225344539848,5,10
"law","govern",0.189052661234621,5,10
"govern","law",0.189052661234621,5,10
"plan","govern",0.176979271186971,5,10
"govern","plan",0.176979271186971,5,10
"public","govern",0.172511767626204,5,10
"govern","public",0.172511767626204,5,10
"lord","minist",0.168288543546158,5,10
"minist","lord",0.168288543546158,5,10
"minist","public",0.167660037330342,5,10
"public","minist",0.167660037330342,5,10
"polic","law",0.145490895117567,5,10
"law","polic",0.145490895117567,5,10
"minist","countri",0.135494710608894,5,10
"countri","minist",0.135494710608894,5,10
"lord","govern",0.120155623389582,5,10
"govern","lord",0.120155623389582,5,10
"minist","law",0.119123070426045,5,10
"law","minist",0.119123070426045,5,10
"countri","govern",0.11279063148455,5,10
"govern","countri",0.11279063148455,5,10
"plan","public",0.0966488892327377,5,10
"public","plan",0.0966488892327377,5,10
"polic","minist",0.096600338446464,5,10
"minist","polic",0.096600338446464,5,10
"polic","lord",0.0925867603415905,5,10
"lord","polic",0.0925867603415905,5,10
"plan","law",0.0876529719645844,5,10
"law","plan",0.0876529719645844,5,10
"polic","public",0.0784751562595974,5,10
"public","polic",0.0784751562595974,5,10
"polic","govern",0.077384655200748,5,10
"govern","polic",0.077384655200748,5,10
"countri","plan",0.0660025853242178,5,10
"plan","countri",0.0660025853242178,5,10
"public","peopl",0.0631153897623864,5,10
"peopl","public",0.0631153897623864,5,10
"lord","public",0.0609883919918748,5,10
"public","lord",0.0609883919918748,5,10
"countri","nation",0.0529661157198418,5,10
"nation","countri",0.0529661157198418,5,10
"polic","peopl",0.0472941250152851,5,10
"peopl","polic",0.0472941250152851,5,10
"public","law",0.0371322791411513,5,10
"law","public",0.0371322791411513,5,10
"polic","plan",0.0327240882921522,5,10
"plan","polic",0.0327240882921522,5,10
"nation","govern",0.0280686485525314,5,10
"govern","nation",0.0280686485525314,5,10
"minist","nation",0.0278505301689911,5,10
"nation","minist",0.0278505301689911,5,10
"lord","plan",0.0219750810052407,5,10
"plan","lord",0.0219750810052407,5,10
"lord","peopl",0.0128253182035892,5,10
"peopl","lord",0.0128253182035892,5,10
"lord","nation",0.00452269955849109,5,10
"nation","lord",0.00452269955849109,5,10
"peopl","govern",-0.000911105147928375,5,10
"govern","peopl",-0.000911105147928375,5,10
"lord","countri",-0.0062675978036535,5,10
"countri","lord",-0.0062675978036535,5,10
"countri","public",-0.0127305179774552,5,10
"public","countri",-0.0127305179774552,5,10
"peopl","law",-0.0157688545179894,5,10
"law","peopl",-0.0157688545179894,5,10
"polic","countri",-0.0178402053242103,5,10
"countri","polic",-0.0178402053242103,5,10
"countri","law",-0.0190446970910149,5,10
"law","countri",-0.0190446970910149,5,10
"minist","peopl",-0.0193226651369814,5,10
"peopl","minist",-0.0193226651369814,5,10
"plan","peopl",-0.0297515772933404,5,10
"peopl","plan",-0.0297515772933404,5,10
"nation","law",-0.0347870658212957,5,10
"law","nation",-0.0347870658212957,5,10
"countri","peopl",-0.0392110443563378,5,10
"peopl","countri",-0.0392110443563378,5,10
"public","nation",-0.0679168480260479,5,10
"nation","public",-0.0679168480260479,5,10
"plan","nation",-0.0706162993469893,5,10
"nation","plan",-0.0706162993469893,5,10
"polic","nation",-0.0726952912380326,5,10
"nation","polic",-0.0726952912380326,5,10
"peopl","nation",-0.132363859896111,5,10
"nation","peopl",-0.132363859896111,5,10
"wale","england",0.495111765089336,6,10
"england","wale",0.495111765089336,6,10
"game","player",0.363574581054028,6,10
"player","game",0.363574581054028,6,10
"match","game",0.321207391996128,6,10
"game","match",0.321207391996128,6,10
"game","play",0.303437380087887,6,10
"play","game",0.303437380087887,6,10
"ireland","wale",0.302982956279956,6,10
"wale","ireland",0.302982956279956,6,10
"player","play",0.298923274282598,6,10
"play","player",0.298923274282598,6,10
"ireland","england",0.283755437552702,6,10
"england","ireland",0.283755437552702,6,10
"match","play",0.231153889858469,6,10
"play","match",0.231153889858469,6,10
"match","win",0.215208596316172,6,10
"win","match",0.215208596316172,6,10
"match","player",0.212259502736685,6,10
"player","match",0.212259502736685,6,10
"win","game",0.169625152712609,6,10
"game","win",0.169625152712609,6,10
"match","england",0.169151283833861,6,10
"england","match",0.169151283833861,6,10
"win","play",0.154150681489005,6,10
"play","win",0.154150681489005,6,10
"match","ireland",0.152725129765413,6,10
"ireland","match",0.152725129765413,6,10
"ireland","half",0.140795910150814,6,10
"half","ireland",0.140795910150814,6,10
"match","wale",0.135609472857878,6,10
"wale","match",0.135609472857878,6,10
"wale","half",0.134071716503216,6,10
"half","wale",0.134071716503216,6,10
"ireland","game",0.133546591754401,6,10
"game","ireland",0.133546591754401,6,10
"england","half",0.132196539889149,6,10
"half","england",0.132196539889149,6,10
"game","half",0.12432128449009,6,10
"half","game",0.12432128449009,6,10
"win","player",0.118429728682662,6,10
"player","win",0.118429728682662,6,10
"england","player",0.115295504479832,6,10
"player","england",0.115295504479832,6,10
"match","half",0.105799609911843,6,10
"half","match",0.105799609911843,6,10
"win","ireland",0.102278278411517,6,10
"ireland","win",0.102278278411517,6,10
"england","game",0.10046028131617,6,10
"game","england",0.10046028131617,6,10
"wale","game",0.0917412943251056,6,10
"game","wale",0.0917412943251056,6,10
"ireland","play",0.0904225003172866,6,10
"play","ireland",0.0904225003172866,6,10
"win","wale",0.0848046331732665,6,10
"wale","win",0.0848046331732665,6,10
"wale","player",0.0791365621765195,6,10
"player","wale",0.0791365621765195,6,10
"ireland","player",0.0759264605178754,6,10
"player","ireland",0.0759264605178754,6,10
"england","play",0.0751380059485602,6,10
"play","england",0.0751380059485602,6,10
"player","half",0.0521479707051509,6,10
"half","player",0.0521479707051509,6,10
"win","england",0.051034737690465,6,10
"england","win",0.051034737690465,6,10
"win","half",0.0398796589861167,6,10
"half","win",0.0398796589861167,6,10
"wale","play",0.0345833822744617,6,10
"play","wale",0.0345833822744617,6,10
"play","half",0.0174002866775788,6,10
"half","play",0.0174002866775788,6,10
"ireland","time",-0.0330946993021563,6,10
"time","ireland",-0.0330946993021563,6,10
"time","half",-0.038704896224228,6,10
"half","time",-0.038704896224228,6,10
"game","time",-0.0393598517448598,6,10
"time","game",-0.0393598517448598,6,10
"match","time",-0.0439425732566595,6,10
"time","match",-0.0439425732566595,6,10
"wale","time",-0.0507480276874613,6,10
"time","wale",-0.0507480276874613,6,10
"player","time",-0.0709597746272503,6,10
"time","player",-0.0709597746272503,6,10
"win","time",-0.0737903905031365,6,10
"time","win",-0.0737903905031365,6,10
"england","time",-0.0854735821566289,6,10
"time","england",-0.0854735821566289,6,10
"play","time",-0.147448146962805,6,10
"time","play",-0.147448146962805,6,10
"nomin","award",0.514136205423966,7,10
"award","nomin",0.514136205423966,7,10
"actor","nomin",0.42708016628262,7,10
"nomin","actor",0.42708016628262,7,10
"actor","film",0.417304511396924,7,10
"film","actor",0.417304511396924,7,10
"song","music",0.413426438997021,7,10
"music","song",0.413426438997021,7,10
"actor","star",0.405422635135821,7,10
"star","actor",0.405422635135821,7,10
"actor","award",0.364803386142302,7,10
"award","actor",0.364803386142302,7,10
"star","film",0.357085818481313,7,10
"film","star",0.357085818481313,7,10
"film","award",0.295238417120849,7,10
"award","film",0.295238417120849,7,10
"nomin","film",0.292920741680764,7,10
"film","nomin",0.292920741680764,7,10
"star","award",0.282439187453308,7,10
"award","star",0.282439187453308,7,10
"nomin","star",0.255233773389851,7,10
"star","nomin",0.255233773389851,7,10
"award","won",0.248257903972719,7,10
"won","award",0.248257903972719,7,10
"nomin","won",0.183016456163357,7,10
"won","nomin",0.183016456163357,7,10
"music","award",0.146552673882188,7,10
"award","music",0.146552673882188,7,10
"song","star",0.132690237508642,7,10
"star","song",0.132690237508642,7,10
"song","nomin",0.13150752267168,7,10
"nomin","song",0.13150752267168,7,10
"actor","won",0.10870221385416,7,10
"won","actor",0.10870221385416,7,10
"song","award",0.105074212101183,7,10
"award","song",0.105074212101183,7,10
"nomin","music",0.0920187899131263,7,10
"music","nomin",0.0920187899131263,7,10
"music","film",0.0699024354874789,7,10
"film","music",0.0699024354874789,7,10
"actor","includ",0.0666285739908021,7,10
"includ","actor",0.0666285739908021,7,10
"nomin","includ",0.0653880050880155,7,10
"includ","nomin",0.0653880050880155,7,10
"music","star",0.0538122763330015,7,10
"star","music",0.0538122763330015,7,10
"award","includ",0.0527261880757369,7,10
"includ","award",0.0527261880757369,7,10
"song","top",0.0451592472412007,7,10
"top","song",0.0451592472412007,7,10
"song","includ",0.0329719629622093,7,10
"includ","song",0.0329719629622093,7,10
"song","actor",0.0312642528059829,7,10
"actor","song",0.0312642528059829,7,10
"star","won",0.0271986268710868,7,10
"won","star",0.0271986268710868,7,10
"song","film",0.0197008216774811,7,10
"film","song",0.0197008216774811,7,10
"award","top",0.0187903995598199,7,10
"top","award",0.0187903995598199,7,10
"actor","music",-0.00382009895921482,7,10
"music","actor",-0.00382009895921482,7,10
"film","won",-0.00799871747514574,7,10
"won","film",-0.00799871747514574,7,10
"film","includ",-0.0123923222854752,7,10
"includ","film",-0.0123923222854752,7,10
"star","top",-0.0161369292239965,7,10
"top","star",-0.0161369292239965,7,10
"music","includ",-0.0259171089441809,7,10
"includ","music",-0.0259171089441809,7,10
"nomin","top",-0.0302301201590549,7,10
"top","nomin",-0.0302301201590549,7,10
"won","top",-0.0326690686981836,7,10
"top","won",-0.0326690686981836,7,10
"song","won",-0.045071887871026,7,10
"won","song",-0.045071887871026,7,10
"star","includ",-0.0578991923313507,7,10
"includ","star",-0.0578991923313507,7,10
"music","top",-0.0597850059491218,7,10
"top","music",-0.0597850059491218,7,10
"music","won",-0.0671773211220427,7,10
"won","music",-0.0671773211220427,7,10
"actor","top",-0.0816188371050687,7,10
"top","actor",-0.0816188371050687,7,10
"film","top",-0.0860035827083273,7,10
"top","film",-0.0860035827083273,7,10
"won","includ",-0.145720258957511,7,10
"includ","won",-0.145720258957511,7,10
"top","includ",-0.192583252572301,7,10
"includ","top",-0.192583252572301,7,10
"user","softwar",0.381853190251622,8,10
"softwar","user",0.381853190251622,8,10
"user","net",0.377598084823142,8,10
"net","user",0.377598084823142,8,10
"virus","softwar",0.333076164361713,8,10
"softwar","virus",0.333076164361713,8,10
"site","user",0.323458954307016,8,10
"user","site",0.323458954307016,8,10
"virus","mail",0.316395240495248,8,10
"mail","virus",0.316395240495248,8,10
"virus","user",0.30101009128557,8,10
"user","virus",0.30101009128557,8,10
"virus","secur",0.22315796495973,8,10
"secur","virus",0.22315796495973,8,10
"net","softwar",0.220775076229912,8,10
"softwar","net",0.220775076229912,8,10
"site","net",0.211325744374022,8,10
"net","site",0.211325744374022,8,10
"mail","user",0.209299435565463,8,10
"user","mail",0.209299435565463,8,10
"mail","net",0.180954650960614,8,10
"net","mail",0.180954650960614,8,10
"mail","softwar",0.16418834553989,8,10
"softwar","mail",0.16418834553989,8,10
"user","peopl",0.164003134261807,8,10
"peopl","user",0.164003134261807,8,10
"search","user",0.160506860707281,8,10
"user","search",0.160506860707281,8,10
"mail","site",0.154549689852282,8,10
"site","mail",0.154549689852282,8,10
"site","softwar",0.153706991683623,8,10
"softwar","site",0.153706991683623,8,10
"virus","site",0.146775404036382,8,10
"site","virus",0.146775404036382,8,10
"user","firm",0.142604286836057,8,10
"firm","user",0.142604286836057,8,10
"virus","net",0.139303462951005,8,10
"net","virus",0.139303462951005,8,10
"search","site",0.137625054153065,8,10
"site","search",0.137625054153065,8,10
"search","softwar",0.135363809015256,8,10
"softwar","search",0.135363809015256,8,10
"softwar","firm",0.128648332413764,8,10
"firm","softwar",0.128648332413764,8,10
"virus","firm",0.121618679499946,8,10
"firm","virus",0.121618679499946,8,10
"search","net",0.119730299392345,8,10
"net","search",0.119730299392345,8,10
"site","peopl",0.0977349742553484,8,10
"peopl","site",0.0977349742553484,8,10
"softwar","secur",0.0877684770634591,8,10
"secur","softwar",0.0877684770634591,8,10
"mail","secur",0.0823641773146402,8,10
"secur","mail",0.0823641773146402,8,10
"net","firm",0.0765225357509688,8,10
"firm","net",0.0765225357509688,8,10
"virus","search",0.0615422274401565,8,10
"search","virus",0.0615422274401565,8,10
"mail","peopl",0.0572350993794285,8,10
"peopl","mail",0.0572350993794285,8,10
"search","mail",0.0534046977027063,8,10
"mail","search",0.0534046977027063,8,10
"user","secur",0.050402384599508,8,10
"secur","user",0.050402384599508,8,10
"softwar","peopl",0.0468940972784249,8,10
"peopl","softwar",0.0468940972784249,8,10
"site","firm",0.041684762624371,8,10
"firm","site",0.041684762624371,8,10
"mail","firm",0.0397952238775244,8,10
"firm","mail",0.0397952238775244,8,10
"search","peopl",0.018415812777452,8,10
"peopl","search",0.018415812777452,8,10
"firm","secur",0.0158175325906265,8,10
"secur","firm",0.0158175325906265,8,10
"net","peopl",0.0105683822032839,8,10
"peopl","net",0.0105683822032839,8,10
"virus","peopl",0.00303672473964564,8,10
"peopl","virus",0.00303672473964564,8,10
"net","secur",-0.00148437737862692,8,10
"secur","net",-0.00148437737862692,8,10
"search","firm",-0.0160738364797136,8,10
"firm","search",-0.0160738364797136,8,10
"search","secur",-0.0165399523903799,8,10
"secur","search",-0.0165399523903799,8,10
"site","secur",-0.0253746814475687,8,10
"secur","site",-0.0253746814475687,8,10
"secur","peopl",-0.225837754646431,8,10
"peopl","secur",-0.225837754646431,8,10
"firm","peopl",-0.3301961571162,8,10
"peopl","firm",-0.3301961571162,8,10
"yuko","russian",0.614505973812858,9,10
"russian","yuko",0.614505973812858,9,10
"firm","compani",0.293711832585013,9,10
"compani","firm",0.293711832585013,9,10
"yuko","court",0.250720215469033,9,10
"court","yuko",0.250720215469033,9,10
"yuko","compani",0.162035182607228,9,10
"compani","yuko",0.162035182607228,9,10
"court","russian",0.155796051875586,9,10
"russian","court",0.155796051875586,9,10
"court","charg",0.149107510646203,9,10
"charg","court",0.149107510646203,9,10
"yuko","firm",0.135490081069063,9,10
"firm","yuko",0.135490081069063,9,10
"yuko","bid",0.103695215468999,9,10
"bid","yuko",0.103695215468999,9,10
"bid","deal",0.0962197023464573,9,10
